Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,4581,37778,35,2378,5208,29863,5,97344,31321,35,35,35,324,-,3.8908ns,-,-,-,-,65,-,-
BF,1,4582,,,,,,,,,,,,,,,,,,,,,
BF,1,4583,38020,30,2604,5700,29580,5,95914,31028,31,31,31,131,-,3.8108ns,-,-,-,-,25,-,-
BF,1,4584,36549,34,2374,5106,28747,5,94005,30264,34,34,34,317,-,3.8108ns,-,-,-,-,45,-,-
BF,1,4585,36921,34,1459,5106,29990,5,96636,30372,34,34,34,361,-,5.684ns,-,-,-,-,36,-,-
BF,1,4586,,,,,,,,,,,,,,,,,,,,,
BF,1,4587,37401,31,1778,5664,29757,5,95687,30316,32,32,32,197,-,5.664ns,-,-,-,-,33,-,-
BF,1,4588,36815,35,1459,5106,29881,5,97478,31219,35,35,35,364,-,5.524ns,-,-,-,-,37,-,-
BF,1,4589,36924,35,1459,5106,29993,5,96638,30371,35,35,35,361,-,5.684ns,-,-,-,-,37,-,-
BF,1,4590,37395,31,1669,5676,29836,5,96647,31125,33,33,33,209,-,5.609ns,-,-,-,-,34,-,-
BF,1,4591,37515,31,1669,5676,29953,5,95966,30327,33,33,33,212,-,5.669ns,-,-,-,-,34,-,-
BF,1,4592,,,,,,,,,,,,,,,,,,,,,
BF,1,4593,36344,27,2385,4632,29205,0,93202,30048,27,27,27,122,-,3.8408ns,-,-,-,-,34,-,-
BF,1,4594,,,,,,,,,,,,,,,,,,,,,
BF,1,4595,36344,27,2385,4632,29205,0,93202,30048,27,27,27,122,-,3.8408ns,-,-,-,-,29,-,-
BF,1,4596,,,,,,,,,,,,,,,,,,,,,
BF,1,4597,37086,27,2603,5022,29332,0,94414,30560,28,28,28,129,-,3.8408ns,-,-,-,-,36,-,-
BF,1,4598,,,,,,,,,,,,,,,,,,,,,
BF,1,4599,37086,27,2603,5022,29332,0,94414,30560,28,28,28,129,-,3.8408ns,-,-,-,-,30,-,-
BF,1,4600,,,,,,,,,,,,,,,,,,,,,
BF,1,4601,36525,37,1777,4998,29490,0,94370,30005,38,38,38,260,-,5.564ns,-,-,-,-,35,-,-
BF,1,4602,,,,,,,,,,,,,,,,,,,,,
BF,1,4603,36525,37,1777,4998,29490,0,94370,30005,38,38,38,260,-,5.564ns,-,-,-,-,31,-,-
BF,1,4604,37271,37,1668,5202,30127,0,97021,31209,39,39,39,274,-,5.609ns,-,-,-,-,36,-,-
BF,1,4605,36861,37,1668,5202,29715,0,94840,30072,39,39,39,276,-,5.599ns,-,-,-,-,36,-,-
BF,1,4606,37271,37,1668,5202,30127,0,97021,31209,39,39,39,274,-,5.609ns,-,-,-,-,32,-,-
BF,1,4607,36861,37,1668,5202,29715,0,94840,30072,39,39,39,276,-,5.599ns,-,-,-,-,32,-,-
BF,1,4608,3772,19,1588,1284,814,16,7842,3436,19,19,19,70,-,2.3724ns,-,-,-,-,48,-,-
BF,1,4609,3832,21,1588,1326,829,16,7945,3479,21,21,21,73,-,2.3774ns,-,-,-,-,62,-,-
BF,1,4610,3772,19,1588,1284,814,16,7842,3436,19,19,19,70,-,2.3724ns,-,-,-,-,48,-,-
BF,1,4611,3833,21,1588,1326,828,16,7956,3490,21,21,21,75,-,2.3724ns,-,-,-,-,50,-,-
BF,1,4612,3685,20,1486,1266,845,16,7683,3386,20,20,20,72,-,2.3724ns,-,-,-,-,49,-,-
BF,1,4613,3743,22,1486,1308,858,16,7795,3439,22,22,22,75,-,2.3724ns,-,-,-,-,64,-,-
BF,1,4614,3685,20,1486,1266,845,16,7683,3386,20,20,20,72,-,2.3724ns,-,-,-,-,49,-,-
BF,1,4615,3747,22,1486,1308,860,16,7810,3452,22,22,22,77,-,2.3724ns,-,-,-,-,51,-,-
BF,1,4616,3742,20,1599,1242,814,16,7789,3434,20,20,20,71,-,2.3324ns,-,-,-,-,49,-,-
BF,1,4617,3742,20,1599,1242,814,16,7789,3434,20,20,20,71,-,2.3324ns,-,-,-,-,49,-,-
BF,1,4618,3742,20,1599,1242,814,16,7789,3434,20,20,20,71,-,2.3324ns,-,-,-,-,49,-,-
BF,1,4619,3742,20,1599,1242,814,16,7789,3434,20,20,20,71,-,2.3324ns,-,-,-,-,49,-,-
BF,1,4620,3657,21,1482,1242,842,16,7622,3388,21,21,21,75,-,2.2774ns,-,-,-,-,50,-,-
BF,1,4621,3657,21,1482,1242,842,16,7622,3388,21,21,21,75,-,2.2774ns,-,-,-,-,50,-,-
BF,1,4622,3657,21,1482,1242,842,16,7622,3388,21,21,21,75,-,2.2774ns,-,-,-,-,50,-,-
BF,1,4623,3657,21,1482,1242,842,16,7622,3388,21,21,21,75,-,2.2774ns,-,-,-,-,50,-,-
BF,1,4624,4011,21,1530,1362,1017,14,8500,3707,21,21,21,88,-,2.0001ns,-,-,-,-,45,-,-
BF,1,4625,4073,23,1530,1410,1026,14,8604,3726,23,23,23,93,-,2.0201ns,-,-,-,-,61,-,-
BF,1,4626,3809,19,1609,1290,824,14,7852,3506,19,19,19,72,-,2.3431ns,-,-,-,-,43,-,-
