Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,107,1159,14,583,372,158,0,2228,1095,15,15,15,46,-,2.4076ns,-,-,-,-,25,-,-
BF,1,108,1175,15,583,354,194,0,2326,1130,15,15,15,44,-,2.6149ns,-,-,-,-,34,-,-
BF,1,109,1126,15,583,354,158,0,2179,1072,15,15,15,31,-,2.4076ns,-,-,-,-,34,-,-
BF,1,110,1111,12,578,342,158,0,2109,1004,12,12,12,33,-,2.4076ns,-,-,-,-,28,-,-
BF,1,111,1111,12,578,342,158,0,2109,1004,12,12,12,33,-,2.4076ns,-,-,-,-,28,-,-
BF,1,112,2444,14,1679,534,193,0,4313,2077,14,14,14,38,-,3.0376ns,-,-,-,-,22,-,-
BF,1,113,2444,14,1679,534,193,0,4313,2077,14,14,14,38,-,3.0376ns,-,-,-,-,22,-,-
BF,1,114,5138,11,4463,552,106,0,8602,4155,11,11,11,17,-,3.2109ns,-,-,-,-,11,-,-
BF,1,115,5204,10,4363,702,123,0,8546,4125,10,10,10,16,-,3.281ns,-,-,-,-,10,-,-
BF,1,116,1145,12,578,360,158,0,2147,1022,13,13,13,49,-,2.4076ns,-,-,-,-,21,-,-
BF,1,117,1145,12,578,360,158,0,2147,1022,13,13,13,49,-,2.4076ns,-,-,-,-,21,-,-
BF,1,118,1112,13,578,342,158,0,2111,1007,13,13,13,34,-,2.4076ns,-,-,-,-,30,-,-
BF,1,119,1112,13,578,342,158,0,2111,1007,13,13,13,34,-,2.4076ns,-,-,-,-,30,-,-
BF,1,120,1143,8,593,336,181,0,2136,1034,8,8,8,33,-,2.4076ns,-,-,-,-,46,-,-
BF,1,121,1143,8,593,336,181,0,2136,1034,8,8,8,33,-,2.4076ns,-,-,-,-,46,-,-
BF,1,122,2485,10,1688,534,227,0,4380,2122,10,10,10,36,-,3.0376ns,-,-,-,-,40,-,-
BF,1,123,2485,10,1688,534,227,0,4380,2122,10,10,10,36,-,3.0376ns,-,-,-,-,40,-,-
BF,1,124,5753,14,4487,936,279,0,9736,4685,14,14,14,51,-,3.2109ns,-,-,-,-,36,-,-
BF,1,125,5050,14,3785,810,399,0,8745,4093,14,14,14,56,-,3.291ns,-,-,-,-,36,-,-
BF,1,126,1176,8,587,354,185,0,2192,1059,9,9,9,50,-,2.4076ns,-,-,-,-,39,-,-
BF,1,127,1176,8,587,354,185,0,2192,1059,9,9,9,50,-,2.4076ns,-,-,-,-,39,-,-
BF,1,128,1148,9,587,342,184,0,2166,1052,9,9,9,35,-,2.4076ns,-,-,-,-,47,-,-
BF,1,129,1148,9,587,342,184,0,2166,1052,9,9,9,35,-,2.4076ns,-,-,-,-,47,-,-
BF,1,130,1183,8,589,360,198,0,2217,1072,8,8,8,36,-,2.5382ns,-,-,-,-,38,-,-
BF,1,131,1155,8,589,354,179,0,2147,1041,8,8,8,33,-,2.4076ns,-,-,-,-,38,-,-
BF,1,132,2513,10,1684,540,246,0,4442,2141,10,10,10,43,-,3.1682ns,-,-,-,-,32,-,-
BF,1,133,2503,10,1706,534,227,0,4426,2144,10,10,10,36,-,3.0376ns,-,-,-,-,32,-,-
BF,1,134,5700,13,4488,894,268,0,9631,4628,13,13,13,50,-,3.211ns,-,-,-,-,27,-,-
BF,1,136,1215,8,583,378,201,0,2268,1095,9,9,9,53,-,2.5382ns,-,-,-,-,31,-,-
BF,1,137,1188,8,583,372,183,0,2203,1066,9,9,9,50,-,2.4076ns,-,-,-,-,31,-,-
BF,1,138,1187,9,583,366,200,0,2242,1088,9,9,9,38,-,2.5382ns,-,-,-,-,39,-,-
BF,1,139,1160,9,583,360,182,0,2177,1059,9,9,9,35,-,2.4076ns,-,-,-,-,39,-,-
BF,1,140,1198,8,589,348,217,0,2320,1116,8,8,8,44,-,2.6149ns,-,-,-,-,34,-,-
BF,1,141,1147,8,589,348,177,0,2162,1052,8,8,8,33,-,2.4076ns,-,-,-,-,34,-,-
BF,1,142,2560,10,1684,546,267,0,4602,2220,10,10,10,63,-,3.2449ns,-,-,-,-,28,-,-
BF,1,143,2478,10,1686,534,221,0,4402,2133,10,10,10,37,-,3.0376ns,-,-,-,-,28,-,-
BF,1,144,5555,13,4483,798,227,0,9386,4532,13,13,13,47,-,3.211ns,-,-,-,-,23,-,-
BF,1,146,1231,8,583,366,221,0,2376,1141,9,9,9,61,-,2.6149ns,-,-,-,-,27,-,-
BF,1,147,1180,8,583,366,181,0,2218,1077,9,9,9,50,-,2.4076ns,-,-,-,-,27,-,-
BF,1,148,1203,9,583,354,220,0,2350,1134,9,9,9,46,-,2.6149ns,-,-,-,-,35,-,-
BF,1,149,1152,9,583,354,180,0,2192,1070,9,9,9,35,-,2.4076ns,-,-,-,-,35,-,-
BF,1,150,1180,14,584,342,199,0,2360,1149,14,14,14,55,-,2.4076ns,-,-,-,-,38,-,-
BF,1,151,1180,14,584,342,199,0,2360,1149,14,14,14,55,-,2.4076ns,-,-,-,-,38,-,-
BF,1,152,2513,16,1679,534,241,0,4569,2216,16,16,16,59,-,3.0376ns,-,-,-,-,32,-,-
BF,1,153,2513,16,1679,534,241,0,4569,2216,16,16,16,59,-,3.0376ns,-,-,-,-,32,-,-
BF,1,154,5792,13,4478,984,286,0,9762,4676,13,13,13,44,-,3.2109ns,-,-,-,-,21,-,-
BF,1,155,5692,12,4378,942,328,0,9676,4604,12,12,12,44,-,3.281ns,-,-,-,-,20,-,-
BF,1,156,1207,14,578,360,198,0,2376,1155,15,15,15,71,-,2.4076ns,-,-,-,-,31,-,-
BF,1,157,1207,14,578,360,198,0,2376,1155,15,15,15,71,-,2.4076ns,-,-,-,-,31,-,-
BF,1,158,1175,15,578,342,199,0,2343,1141,15,15,15,56,-,2.4076ns,-,-,-,-,39,-,-
BF,1,159,1175,15,578,342,199,0,2343,1141,15,15,15,56,-,2.4076ns,-,-,-,-,39,-,-
BF,1,160,2243,6,596,1200,394,15,3647,1678,6,6,6,38,-,2.9648ns,-,-,-,-,37,-,-
BF,1,161,2243,6,596,1200,394,15,3647,1678,6,6,6,38,-,2.9648ns,-,-,-,-,37,-,-
BF,1,162,3419,8,1703,1200,456,15,5753,2673,8,8,8,45,-,3.5998ns,-,-,-,-,31,-,-
BF,1,163,3419,8,1703,1200,456,15,5753,2673,8,8,8,45,-,3.5998ns,-,-,-,-,31,-,-
BF,1,164,6110,12,4496,1104,444,15,10353,4887,12,12,12,51,-,3.2109ns,-,-,-,-,27,-,-
BF,1,165,6124,12,4196,1266,594,15,10366,4781,12,12,12,53,-,3.2909ns,-,-,-,-,27,-,-
BF,1,166,1805,6,602,810,324,15,3085,1428,7,7,7,54,-,2.9848ns,-,-,-,-,30,-,-
BF,1,167,1805,6,602,810,324,15,3085,1428,7,7,7,54,-,2.9848ns,-,-,-,-,30,-,-
BF,1,168,1780,7,602,798,325,15,3045,1409,7,7,7,40,-,2.9648ns,-,-,-,-,39,-,-
BF,1,169,1780,7,602,798,325,15,3045,1409,7,7,7,40,-,2.9648ns,-,-,-,-,39,-,-
BF,1,170,2315,6,588,1248,424,14,3768,1734,6,6,6,41,-,3.0661ns,-,-,-,-,33,-,-
BF,1,171,2295,6,588,1248,406,14,3709,1709,6,6,6,39,-,2.9055ns,-,-,-,-,33,-,-
BF,1,172,3517,8,1695,1248,511,14,5948,2755,8,8,8,49,-,3.7111ns,-,-,-,-,27,-,-
BF,1,173,3484,8,1717,1248,461,14,5830,2723,8,8,8,44,-,3.6415ns,-,-,-,-,27,-,-
BF,1,174,6163,12,4488,1152,457,14,10417,4918,12,12,12,52,-,3.2109ns,-,-,-,-,23,-,-
BF,1,176,1877,6,594,858,354,14,3203,1482,7,7,7,57,-,3.1261ns,-,-,-,-,26,-,-
BF,1,177,1851,6,594,852,336,14,3140,1455,7,7,7,55,-,2.9555ns,-,-,-,-,26,-,-
BF,1,178,1852,7,594,846,355,14,3166,1465,7,7,7,43,-,3.0861ns,-,-,-,-,35,-,-
BF,1,179,1826,7,594,840,337,14,3103,1438,7,7,7,41,-,2.9355ns,-,-,-,-,35,-,-
BF,1,180,2462,6,583,1344,474,12,4002,1841,6,6,6,49,-,3.0421ns,-,-,-,-,31,-,-
BF,1,181,2416,6,583,1344,436,12,3860,1784,6,6,6,41,-,2.7848ns,-,-,-,-,31,-,-
BF,1,182,3689,8,1690,1344,580,12,6257,2887,8,8,8,63,-,3.6871ns,-,-,-,-,25,-,-
BF,1,183,3583,8,1692,1344,488,12,5940,2775,8,8,8,47,-,3.4898ns,-,-,-,-,25,-,-
BF,1,184,6285,12,4483,1248,488,12,10570,4993,12,12,12,54,-,3.2109ns,-,-,-,-,21,-,-
BF,1,186,2024,6,589,954,404,12,3434,1587,7,7,7,65,-,3.0821ns,-,-,-,-,24,-,-
BF,1,187,1966,6,589,942,366,12,3284,1526,7,7,7,57,-,2.8548ns,-,-,-,-,24,-,-
BF,1,188,1999,7,589,942,405,12,3400,1572,7,7,7,51,-,3.0621ns,-,-,-,-,33,-,-
BF,1,189,1941,7,589,930,367,12,3250,1511,7,7,7,43,-,2.8348ns,-,-,-,-,33,-,-
BF,1,190,2169,4,578,1194,373,0,3427,1581,4,4,4,24,-,2.7448ns,-,-,-,-,28,-,-
BF,1,191,2169,4,578,1194,373,0,3427,1581,4,4,4,24,-,2.7448ns,-,-,-,-,28,-,-
BF,1,192,3354,6,1685,1200,439,0,5555,2587,6,6,6,30,-,3.5948ns,-,-,-,-,22,-,-
BF,1,193,3354,6,1685,1200,439,0,5555,2587,6,6,6,30,-,3.5948ns,-,-,-,-,22,-,-
BF,1,194,5917,12,4478,1056,346,0,9897,4718,12,12,12,37,-,3.2109ns,-,-,-,-,20,-,-
BF,1,195,5931,12,4178,1218,496,0,9910,4612,12,12,12,39,-,3.2909ns,-,-,-,-,20,-,-
BF,1,196,1729,4,584,804,299,0,2856,1323,5,5,5,42,-,2.7448ns,-,-,-,-,21,-,-
BF,1,197,1729,4,584,804,299,0,2856,1323,5,5,5,42,-,2.7448ns,-,-,-,-,21,-,-
BF,1,198,1703,5,584,792,302,0,2836,1316,5,5,5,25,-,2.7448ns,-,-,-,-,30,-,-
BF,1,199,1703,5,584,792,302,0,2836,1316,5,5,5,25,-,2.7448ns,-,-,-,-,30,-,-
BF,1,200,2489,6,632,1188,558,15,4572,2005,6,6,6,96,-,2.9648ns,-,-,-,-,31,-,-
BF,1,201,2239,6,614,1188,378,15,3665,1684,6,6,6,44,-,2.9648ns,-,-,-,-,31,-,-
BF,1,202,3726,8,1733,1188,665,15,7036,3083,8,8,8,125,-,3.5998ns,-,-,-,-,25,-,-
BF,1,203,3397,8,1717,1188,427,15,5718,2664,8,8,8,50,-,3.7428ns,-,-,-,-,25,-,-
BF,1,204,6254,6,4517,1086,551,15,10828,5044,6,6,6,85,-,3.211ns,-,-,-,-,15,-,-
BF,1,206,2064,6,623,822,492,15,4005,1753,7,7,7,112,-,2.9848ns,-,-,-,-,24,-,-
BF,1,207,1809,6,614,810,310,15,3099,1433,7,7,7,60,-,2.9848ns,-,-,-,-,24,-,-
BF,1,208,2039,7,623,810,493,15,3968,1738,7,7,7,98,-,2.9648ns,-,-,-,-,33,-,-
BF,1,209,1784,7,614,798,311,15,3062,1418,7,7,7,46,-,2.9648ns,-,-,-,-,33,-,-
BF,1,210,2562,6,624,1236,588,14,4694,2063,6,6,6,100,-,3.0661ns,-,-,-,-,27,-,-
BF,1,211,2292,6,606,1236,390,14,3728,1717,6,6,6,46,-,2.9055ns,-,-,-,-,27,-,-
BF,1,212,3825,8,1725,1236,720,14,7233,3168,8,8,8,130,-,3.7111ns,-,-,-,-,21,-,-
BF,1,213,3443,8,1704,1236,437,14,5771,2695,8,8,8,52,-,3.6415ns,-,-,-,-,21,-,-
BF,1,214,6307,6,4509,1134,564,14,10894,5076,6,6,6,86,-,3.211ns,-,-,-,-,11,-,-
BF,1,216,2137,6,615,870,522,14,4131,1814,7,7,7,116,-,3.1261ns,-,-,-,-,20,-,-
BF,1,217,1856,6,606,852,322,14,3162,1467,7,7,7,62,-,2.9555ns,-,-,-,-,20,-,-
BF,1,218,2112,7,615,858,523,14,4094,1797,7,7,7,102,-,3.0861ns,-,-,-,-,29,-,-
BF,1,219,1831,7,606,840,323,14,3125,1450,7,7,7,48,-,2.9355ns,-,-,-,-,29,-,-
BF,1,220,2725,6,619,1332,655,12,4949,2184,6,6,6,107,-,3.0921ns,-,-,-,-,25,-,-
BF,1,221,2429,6,601,1332,437,12,3905,1809,6,6,6,47,-,2.8348ns,-,-,-,-,25,-,-
BF,1,222,4011,8,1720,1332,804,12,7564,3315,8,8,8,143,-,3.7371ns,-,-,-,-,19,-,-
BF,1,223,3558,8,1677,1332,483,12,5905,2761,8,8,8,54,-,3.5198ns,-,-,-,-,19,-,-
BF,1,224,6430,6,4504,1230,595,12,11054,5159,6,6,6,89,-,3.211ns,-,-,-,-,9,-,-
BF,1,226,2284,6,610,966,572,12,4362,1920,7,7,7,124,-,3.0821ns,-,-,-,-,18,-,-
BF,1,227,1971,6,601,942,352,12,3306,1539,7,7,7,64,-,2.8548ns,-,-,-,-,18,-,-
BF,1,228,2259,7,610,954,573,12,4328,1905,7,7,7,110,-,3.0621ns,-,-,-,-,27,-,-
BF,1,229,1946,7,601,930,353,12,3272,1524,7,7,7,50,-,2.8348ns,-,-,-,-,27,-,-
BF,1,230,2431,4,614,1182,554,0,4373,1919,4,4,4,81,-,2.7948ns,-,-,-,-,22,-,-
BF,1,231,2181,4,596,1182,374,0,3466,1598,4,4,4,29,-,2.7948ns,-,-,-,-,22,-,-
BF,1,232,3676,6,1715,1188,664,0,6862,3011,6,6,6,109,-,3.6448ns,-,-,-,-,16,-,-
BF,1,233,3347,6,1699,1188,426,0,5540,2588,6,6,6,34,-,3.7878ns,-,-,-,-,16,-,-
BF,1,234,6063,6,4499,1038,454,0,10383,4881,6,6,6,72,-,3.2109ns,-,-,-,-,8,-,-
BF,1,236,1989,4,605,816,467,0,3784,1654,5,5,5,101,-,2.7448ns,-,-,-,-,15,-,-
